	标点
跣足	露出 部件 脚 动物
字纸	材料 废物 包扎 写
渴得要命	使动 饥渴
九月	时间 月 特定
踏板	部件 乐器
踏板	部件 器具
股市	场所 证券 买 票证 卖 票证
股市	价格 证券 票证 资金
共享	经受 共同
小肚子	部件 部件 身 动物
芳香剂	化学物 香
留意	注意
乍得首都	地方 国都 乍得 专
素食	吃 蔬菜
素食	食物 特别
与世无争	消极
存活率	比率 生物 活着 遭受 病态 劫难
受吃	好吃
度假区	地方 景象 著名 旅游
情景喜剧	表演物 艺 使动 喜悦
浮游	游
浮游	旅游
松鼠	走兽
交货	交 商业 人工物
横穿	越过
马克思列宁主义	知识 政
喁	期望
征战	前往 军 争斗
振动性	特性值 颤动
超高压	电压 电
裂隙	部件 口 无生物
警铃	用具 告诉 境况 危
照本宣科	呆
别动队	部件 军 军队
徭	事务 过去
小卖店	场所 商业 买 卖 少
气鼓鼓地	举止值 生气
伤悲	悲哀
波光粼粼	清
首选	经受 选择 主
并蒂莲	人 爱恋
载入	记录
局外	不相关
勉强	矫揉造作
勉强	难 相信
勉强	卖力
勉强	少
勉强	强迫
勉强	消极
勉强	不足
恐怖分子	人 有罪 恐怖袭击
毫法拉	单位 电
老大徒伤悲	懊悔 懒 青年 老年
理论观点	立场
公海	水域
乙酰螺旋霉素	药物 医 消灭 微生物 医 能 导致 疾病
不解	不知
不解	不会 离别
遐龄	年龄 人 老年
生活条件	质量 生物 群体 活着
汽车配件	配件 车 自动
取得国籍	得到 国籍 人 另
双簧管手	人 职位 艺 表演 音乐
前排	位置 前
眢	残疾 看
眢	干
看不起	轻视
附注	部件 尾 书刊 语文
冷嗖嗖	冷
长局	结果 永久性
祥	吉祥
健康美	康健
呈请	要求
相对于	功能词
相对于	比较
敬酒	祝贺 饮品
窗	部件 眼 建筑物
身分证	文书 证明 身分 人
活便	便
活便	巧
假冒者	人 假装 当作
蛸	文字 中国
剖析	分析
水陆两用车	车 自移 陆地 水域
规格化	变性态 合格
先知	人 预料
武林	团体 体育 锻炼
领得	收
一中一台	规矩 中国
全知全能	能
渔汛	时间 农 捉住 鱼
结膜炎	疾病 发炎 部件 眼 动物
广告	信息 商业 传播
滋	成长
滋	喷出
滋	生殖
故知	人 友 亲密
经水	部件 体液 动物 女
恩格斯	人 英国 专 有 知识
出示	展示
仰仗	依靠
阗	存在 多
阗	壮观
阿尔伯克基	地方 市 美国 专
例外	类型 事件 特别
友爱	友善
模糊数学	知识 数学
芋艿	部件 根 蔬菜 吃
芋艿	蔬菜
镫骨	部件 部件 动物 听
冤大头	人 奢
男子双打	事情 锻炼 体育
那时	时间 特定
苏格拉底	人 希腊 专 有 知识
临界温度	温度 化学 物理 物质
参加	从事
参加	纳入
玩火	冒险
假期	时间 消闲 休息
上衣	衣物 穿戴 部件 身 人
直性子	直率
直性子	人 直率
公事公办	处理 规矩 共 事务 共
钯	金属 化学
挤进	插入
批处理	事情 处理
智力投资	事情 供 资金 智慧 人
是耶非耶	正误 内容 事件
溢出	溢出
山水画	图像 景象
蚝豉炆冬菇	食品 烹调
檩条	部件 骨 建筑物
金唱片	用具 适宜 商业 卖 传播 音乐 记录 音乐
佳侣	人 家庭 女 配偶 人 家庭 男 配偶
发射石块的武器	武器 军 射击
提讯	审问 警
推动者	人 促使
笞刑	事情 处罚
图表	图像
工薪阶级	人 得到 事务 从事 酬金
翠碧	绿
可出租	能 借出
囊中羞涩	穷
满怀	心怀
与	功能词
克山	地方 县 中国 专
连环画	书刊
潇洒	落落大方
未果	无能 实现
言必有中	精确
要案	事情 警 重要
决断	意志 人 坚决
决断	决定
电钮	部件 用具
掉点儿	坏天 雨雪
低层	低等
球	运动器材 圆
球	大地
球	事情 比赛 运动器材 圆 体育
球	地方 世界
球	物形 圆
脾气急躁	暴
败走	输掉 离开
今夏	时间 夏 现在 特定
挨呲儿	遭受 谴责
未雨绸缪	注意 境况 群体 人 危
厚墩墩	厚
调资	调整 多少 酬金
目次	部件 内容 读物
对分	分离 平均
市级	归属地方 地方 市
争端	事情 争吵
遗赠	万物 留给 人 祖先
混淆视听	使误知
衾	用具 遮盖 睡
典制	规矩
口才	能力 人 说
在校生	人 学习 场所 教育 高等 学习 教
冬菇豆腐	食品 烹调
嫡孙	人 家庭 小辈 直系 男
海南	地方 省 中国 专
物理课	事务 学习 知识 物理 教 知识 物理 教育
自留地	陆地 农 栽植 庄稼
次重量级	等级 体育 重量 比赛
姑夫	人 家庭 旁系 男 长辈
坐冷板凳	遭受 轻视
谋生	谋生
暴发户	人 发达 富 骤然
合剂	药物
标页码	称作 编号 读物
附加费	费用 增加
燃油	材料 液态 焚烧
赣剧	表演物 地方 中国
提词	帮助 说 表演
垸	设施 水域 保护
子弟	人 小辈
下不了台	为难
广角镜头	部件 用具 拍摄 图像
界尺	用具 测量
并肩作战	争斗 军 共同
地方色彩	风格 万物
蚊	虫 疾病
物象	图像
物象	现象
寓意深刻	深奥
折箩	食品 剩余
模式	样式 人工物
蔫不出溜	静
怨气	情感 不容
端整	雅
敛步	停做 前进
开炮	谴责
开炮	射击 武器 军
不务正业	从事 否 事务 重要
不务正业	从事 否 责任 己
美金	货币 美国 商业 金融
可传播	能 传播
孟秋	时间 月 特定
打八折	削减 商业 价格
你们俩	人 你 众
解码	翻译
塞舌尔卢比	货币 塞舌尔
天体测定	知识 天体
标枪	运动器材
用连字符连接	连接 符号 语文
粗涩	崎岖
究办	处理
气门心	部件 器具
引子	药物
引子	部件 头 书刊 语文
引子	部件 音乐
牛奶	部件 体液 牲畜 女 喝
莲台	家具 宗教
芥蒂于心	心怀 情感 不容
口语化	形状值 说
分出	分辨 达成
非常严重	严重 极
老路子	方法 旧
索还	要求 还
嫩寒	天象 冬 冷
立即	旋即
东工大	场所 日本 教育 高等 专 学习 教
兴高采烈	喜悦
克分子浓度	浓度 无生物
软梯	用具 材料 线 拴连 上去
软梯	用具 上去
只顾自身利益	自私
三鲜豆腐	食品 烹调
平衍	广 平
体内循环心脏手术	医治 部件 心 部件 脏 动物 循环 医 切削 破开
老老少少	人 众
耳鼻喉科学	知识 事情 医治 医
骁将	人 军队 军 勇 官 争斗
侍弄	照料 农
皎皎	明
怪老头	人 老年 僻 男
塔斯卡卢萨	地方 市 美国 专
不舍得	不舍
东胜	地方 市 中国 专
恐	害怕
恐	吓唬
齰	啃咬
避税	回避 付 费用 征收 金融 合法
惠存	词语 要求 保存
谚语	词语
容器	用具 放置
容器	用具 放置 保存
容器	用具 放置 保存 液
凶光	表情 人 暴
冬闲	时间 冬 停做 事务 农
缓期	拖延
潴留	疾病
侍	照料
鲂	鱼
语种	类型 语言
乌合之众	人 庸 众
权	势力 动物 群体
权	权利
权	姓
心动过缓	疾病 部件 心 部件 脏 动物 循环
姓甚名谁	姓名 人
结婚生活	生活状况 结婚 人 活着
烙饼	食品
留别	赠 离别
不可再生资源	材料 庸 改良
吸盘	用具 吸入
甫	过去
甫	姓
扶抚	帮助
电子器件	器具
制版	印刷
告别宴会	事情 招待 食物 离别
开明绅士	人 有学问
贫化铀	金属
渔钩	用具 捉住 鱼
上一次	动量 事件 过去 特定 基数
柯尔克孜	族群 中国
受宠	经受 爱惜
佳作	人工物 最佳
鞲	文字 中国
头疼	疼痛
演变	变
凸版	用具 印刷
看展览	看 事情 展示
误入歧途	出错
松烟	废物
矩形	图像 数学
矩形	方
凯达格兰大道	道路 台湾 专 主
远距离照相	拍摄 远
水煤气	材料 气 焚烧
知识界	团体 知识
相比关系	相比关系
魄散魂飞	害怕 极
朦朦胧胧	浑
此举	事情 行动 特定
路标	标志 道路
部类	类型 属性 实体
茄子	部件 胚 蔬菜 吃
茄子	蔬菜
香瓜	水果
一阵	动量值 多少值
桨架	部件 船 定住 部件 船 驾驭
包产到户	承担 创造 农
唢	文字 中国
幽门	部件 脏 动物
还口	反驳
扰乱性	能 捣乱
疔疮	疾病
胜券	能力 群体 人 获胜
教条主义者	人 相信
中筋面粉	材料 食物 庄稼
层层把关	查
权臣	人 职位 皇 官 过去 有威力
挡路	拦住
何许人也	功能词 疑问
尿床	排泄 加湿 家具 睡
维生素缺乏症	疾病
结婚证书	文书 证明 结婚
圣弗朗西斯科	地方 市 美国 专
跳伞运动	锻炼 体育 下去
通彻	能够
悲观地	悲观
华灯	用具 装饰 照射
染	变颜色
染	遭受 传染
晨钟暮鼓	事情 劝说
臣服于	屈服
火鸡舞	表演物
瓜分	分离
应收款	多少 金融 钱财 收受
新官上任三把火	改良 全面
显象管	部件 用具 看 信息 传播
旗帜	用具 装饰
消极怠工	偷懒
公务	事务 共
不成敬意	词语 表示 赠
动向	前景 事件 万物
有人指出	功能词
情绪高涨	激动
调干	人 职位
骨顶鸡	禽
备注	部件 尾 书刊 语文
夸口	夸大
中宣部	部件 团体 中国 政 专 传播
手巾	用具 擦拭
高高大大	身高 大
领军人物	人 官
在户外	位置 房屋 外
爸	人 家庭 直系 男 长辈
工业用水	水 工
抢滩	到达 陆地 靠近 水域
天亮	发生 时间 晨
怀恨者	人 仇恨
桑园	场所 农 栽植 树
对付	处理
对付	处理 成功
中西合璧	与特定国家相关 中国 与特定国家相关 地方 外国
啪嚓	声 发声 打
汗腺	部件 络 动物 排出 体液 制造 体液
护	拥护 不公正
护	保护
死亡	死
电石	化学物
值得尊重	能 使动 敬佩
老师	人 职位 教育 教
疮	疾病
疮	疾病 受伤
片纸只字	部件 少 语文
勾通	勾结
坐山观虎斗	拒做
错开	安排
基干	人 能 重要
足病学	知识 疾病 部件 脚 动物 医
收摊儿	停做 事务 商业
收摊儿	停做 担任
杈子	部件 肢 植物
并无异言	反对 否
熟石灰	土石 材料
交流电	电
征程	事情 旅游
下工	停做 担任
抹掉	消除 达成
减速带	设施 减慢 车
皮筏	船
口疳	疾病
鹌鹑	禽
口淫	交配 部件 口 部件 脏 动物 发声 吃
长期有效	效果 实体 时间 长时间
留口信	传送 信息
栗子色	褐
青天	人 官 正义
青天	空域 蓝
菥	文字 中国
菊花	花草
间发病	疾病
没问题	词语 表示 示同意
统计力学	知识 物理
爆炸性	危
官职	职位 人 官
打秋风	谋取
阴唇	部件 脏 部件 脏 动物 女 排泄 生殖
铸锭	用具 制造
啥	功能词 疑问
牵动	影响
五官	外观 人
五官	部件 部件 头 动物
突然偏离	拐弯 骤然
拜领	收受 有礼
弄疼	使动 疼痛
女悲剧演员	人 职位 艺 女 表演
姬	人 皇 女
姬	姓
小巴	车 事情 驶 交通工具 共 自动 运送 人
知府	人 职位 政 官 过去
诗选	书刊 文
宣城市	地方 市 中国 专
鸣枪	射击 武器 劝说
金蝉脱壳	逃跑
统一性	一致性 内容
咕隆	声 发声 坏天 雷
皇亲	人 家庭 皇
称好	夸奖
领土纠纷	事情 争吵 地方 控制 地方 国家 政
不对	不正常
不对	不容
不对	词语 表示 不同意
不对	误
总括	说明
撞南墙	失败
兴趣	情感 喜欢
抓起来	扣住 警
抓起来	管理
急先锋	人 引导 做 积极
打江山	争斗 取 地方 国家 政
肥瘦	尺寸 物质
肺心病	疾病 部件 脏 部件 脏 动物 呼吸
账务	事务 计算 钱财 金融
又名	称作 也
昂藏	神气
开本	尺寸 书刊
银婚	时间 结婚 节 日 示思念
进来	功能词 动趋 内
进来	进入
进来	内移
百科全书的知识	知识 泛
弄湿	加湿
性生活	事情 交配
坐月子	保养 临产
极	程度 最 属性值 事件
极	极
极	部件 头 尾 物理 电
极	部件 头 尾 大地
流体	物质 液态
背影	痕 光 部件 身 后 人
磷酸钠	化学物
包装材料	材料 包扎
国家体育总局	部件 机构 中国 政 归属中央 官 管理 管理 事务 体育
学非所用	不适 学习 从事
恶凶凶	暴
满盘皆输	输掉
俺们	人 我 众
低劣	劣质
偏口鱼	鱼
寒冽	冷 极
动真的	从事 真
小型潜水艇	武器 军 船
啊哟	声
愁结	情感 忧愁
莫里斯	表演物
利禄	等级 人 官 钱财
喜忧参半	喜悦 着急
农业储金银行	场所 日本 金融 专 留存 货币 取回 货币 借入 货币
后记	部件 尾 书刊 语文
逃税者	人 金融 回避 付 费用 征收 非法
公共医疗保险	事情 保证 健康 保险 共
盒子	用具 放置
终身聘任	雇用 长时间 终生
汉中	地方 市 中国 专
十万	基数
或是	功能词
西班牙首都	地方 国都 西班牙 专
着魔	遭受 使误知 拟人
备战	准备 争斗 军
胭脂树	树
败军	军队 军 输掉
聚首	会面
受奖	收受 用具 奖励
低速	慢
延川	地方 县 中国 专
屋主	人 有 房屋
菜农	人 职位 农 栽植 蔬菜
噤若寒蝉	不说 害怕
求才若渴	谋取 急切 人 能
说服不了	庸 劝说
鸡尾酒	食品 液态 烹调
指针	部件 器具 指代
指针	规矩 能 促使 领会
国民党	团体 政
莲花白	部件 毛 蔬菜 吃
莲花白	蔬菜
老实巴脚	当 举止 人
责备	谴责
贴心	亲密
霸王	人 霸道
滑板	运动器材
滑板	事情 锻炼 体育
滑板	部件 工 机器
中华鲟	鱼
消防龙头	设施 消除 火
矢量图	图像
盈	存在 多
盈	剩余
菏	文字 中国
山窝	地方 有 陆地 凸
热量分子运动论	知识 物理
杂耍	表演物
光耀	荣
光耀	光 明
储藏柜	设施 放置 保存
全省	地方 省 整
政敌	人 政 敌
天字第一号	最佳
西芹	部件 身 蔬菜 吃
西芹	蔬菜
干粉	食品
表解	图像 包含 书刊
血印	痕 留存 部件 体液 红 动物
词话	语文 文
战败	输掉
战败	输掉 军
战败	战胜 军
东侧	位置 东
堤边	位置 边 设施 水域 保护
苍	绿 浓
苍	灰
苍	姓
依稀可见	能 感知 浑 看
保释金	费用 警 保证 释放
铁杉	树
过度	超
机械化部队	部件 军 军队 搭乘 车 自动
芊芊	茂
邮政信箱	设施 放置 信件
写作	编辑
十亿字节	单位 信息 电脑
果菜	食品
罕言寡语	不善交往
诰命	文书 皇
左宗豆腐	食品 烹调
奖	夸奖
奖	奖励
奖	用具 奖励
济阳	地方 县 中国 专
楮	材料 画 包扎 写
楮	树
词重音	声 词语
不了了之	完毕 未定
世界屋脊	陆地 高 最
隐名合伙人	人 合作 隐秘
帚	用具 擦拭
论及	提及
殴	打
家祠	设施 致敬 人 祖先
法拉第	单位 电量
敦煌	地方 中国 专
鸟群	群体 禽
他	人 他 男
他	另
鳎	鱼
浓荫	地方 免除 照射 光 缘于 天体
本	名量 书刊
本	簿册
本	资金 金融
本	原
本	部件 根 实体
本	部件 根 实体 事件
本	部件 身 植物
本	现在
本	主
本	读物
本	己
本	特定
臊味	气味 物质 臭
萝卜缨儿	部件 毛 蔬菜
个体经济	事务 农 经济 工 私
住友银行	场所 日本 金融 专 留存 货币 取回 货币 借入 货币
平遥	地方 县 中国 专
攻势	姿势 军 军队 事情 攻打
招待所	场所 旅游 吃 娱乐 住下
具名	题写 姓名
上赶着	自愿
睡意	意愿 期望 睡
美食	食物 好吃
废铁	金属 废物
半打	名量 无生物
若有所失	注意 否
孤单	孤
司法权	权利 事务 裁定 警
肮	文字 中国
忽悠悠	摆动
泽库	地方 市 中国 专
纳粹	人 团体 德国 政
纳粹	制度 团体 德国 政
民力	力量 群体 人 钱财
硗	瘠
奋发进取	卖力
夫唱妇随	适合 相互 人 家庭 女 配偶 人 家庭 男 配偶
殡殓	放置 用具 保存 部件 身 人 死
总	功能词
总	总是
总	人 职位 经济 官 主 管理
总	全额
总	主
阻塞	堵塞
补胎	修理 部件 部件 腿 车
冒充	当作 假装
篮球	运动器材 篮球 圆
篮球	事情 锻炼 篮球
班级	部件 场所 教育 学习 教
增产节约	增多 农 工 人工物 庄稼 节省
出钱	付 货币
睡垫	用具 躺卧 坐蹲
精神疗法	知识 事情 医治 医
长途跋涉者	人 自移 远 难
米酒	饮品 嗜好
体校	场所 教育 学习 知识 体育 教 知识 体育
冈比亚河	水域 非洲 专 线
尿酸	物质 代谢 生物学 医
练习册	簿册
肥分	多少 材料 农 喂 庄稼
叩门	打 部件 口 建筑物
象甲	虫
抱...的大腿	取悦
凸现	出现 清晰
首屈一指	最佳
臭氧层	气 天象
蜘蛛蟹	虫
荟萃	集聚
天天	频度值 时间 日 单
妙	灵
妙	巧
妙	难 领会
妙	非常好
遛早	走 闲 时间 晨
把守	防守
残骸	部件 物质 剩余
大有裨益	有利 很
政治协理员	人 职位 帮助 管理
干舷	部件 边 船
横滨银行	场所 日本 金融 专 留存 货币 取回 货币 借入 货币
大括号	符号
村口	位置 地方 乡
剑拔弩张	严重
坚执己见	遵循 思想 己
圆柱形	形状值
定级	决定 等级
领地	地方 控制 地方 国家 政
屠	杀害
屠	杀害 暴 有罪
屠	姓
电击	疾病
想不到	不会 预料
象征性地	特性值 指代
骨缝	位置 部件 骨 动物
初霜	雨雪
龀	代替 部件 动物 少儿 啃咬
扭角羚	走兽
安眠	睡 宁
顾不得	注意 没能力
短褂	衣物 穿戴 部件 身 人
现代舞	事情 娱乐 艺 现在
一目十行	读 快
万福	事情 致敬
英语系	部件 场所 教育 学习 教
行善	从事 事情 仁
阌	文字 中国
电机	机器 电
丰年	时间 年 采集 庄稼 农 多
开山鼻祖	人 创造
生物制剂	药物 生物学
流口水	流 动趋 外 部件 体液 部件 脏 动物 消化
店铺扒手	人 有罪 偷 场所 商业 买 卖
学识浅薄	没学问
人权	权利 人
簇生	成长
一代	时间
一代	时间 朝代
一代	时间 终生
建筑工地	设施 建造
忧怨	忧愁
碧玉	材料 珍宝
爱达荷人	地方 省 美国 专
炸肉	食品
酸涩	悲惨
滤去	滤清
冶容	妖媚
解扣	使活
抱憾	懊悔
羊脂	材料 食品
缠	捣乱
缠	缠绕
缠	对待
巡警	人 职位 警
铁索	材料 线 金属 拴连
舅妈	人 家庭 旁系 女 长辈
造成	导致
造成	创造
顷刻之间	短时间
许可证	文书 示同意
省政府	机构 管理 地方 省
副省长	人 职位 官 次 管理 地方 省
音像	表演物
音像	用具 表现 表演物
阿拉木图	地方 市 哈萨克斯坦 专
病态心理	精神 不正常
鳗鱼	鱼
主子	人 雇用
媪	人 老年 女
埃	地方 国家 非洲 政 专
连衫裙	衣物 穿戴 部件 腿 人 女
运动不能	疾病
车马费	酬金 付 自移 事务 经受 差遣
白花蛇	走兽
扶摇直上	增多 经济 快 价格
扶摇直上	上去 快
尖端技术	部件 先进 知识
节瓜虾米粉丝煲	食品 烹调
畅销	适宜 商业 卖
最后通牒	文书 军 告诉 争斗 最后
晕厥	昏迷
漫天大雪	坏天 雨雪 强
空头	无用
封建制度	制度 政
标金	钱财 押给 提出 价格 商业
画供	承认 警
好汉不提当年勇	词语 劝说 谦
暑	天象 夏 热
安陆	地方 市 中国 专
电衙门	人 霸道 管理 电
置放	放置
蜂拥而上	前进 集聚
水上机动	能 活动 水域
明冬	时间 冬 将来 特定
啤酒瓶	用具 放置 饮品 嗜好
蚂蚱	虫 飞
调焦	调整
唆	指使
忍不住	忍耐 没能力
有失偏颇	不公正
敢当	值得
霍耶斯韦达	地方 市 德国 专
磁盘	用具 记录
戟指	谴责
艚	船
超声波	物形 声
腰果鸡丁	食品 烹调
鳌头	位置 主
溶液	液 化学物
残破	坏掉
残破	缺
闭关	停做 交往 国际 政
林带	陆地 成长 树 众
备荒	准备 处理 劫难 天然物 损害 植物
结婚	结婚 人 家庭 女 配偶 人 家庭 男 配偶
讲情面	讲求 情感 有 人 另
赌咒	发誓
花丛	花草 众
武装	军队
武装	供 军 武器 军 军队
武装	武器 军
超级	高等
癌变	疾病 肿胀 不会 医 控制
癌变	病态 疾病 肿胀 不会 医 控制
选项	方法 留存 代替
剑术师	人 锻炼 体育
来不及	无 时间
来不及	迟
崭新	新 最
公输	姓
决胜负	较量
社会科学院	场所 中国 专 研究 知识
趟	动量 变空间位置
趟	名量 车
趟	名量 无生物
枧	用具 洗涤
怡和	友善
购并	得到
不注意	注意 否
不注意	专注 否
百灵鸟	禽 发声
新房	房间 结婚 住下
水钻	材料 珍宝
犁田	整理 陆地 农
临睡	时间特性 时间 靠近 睡
成事	成功
光荣榜	簿册 记录 姓名 人 荣
鼻疽病	疾病
打杂	从事 事务 杂 不重要
扯碎	破开
尤其	很
年终	时间 末 年
混合	杂
混合	混合
复本	读物 抄写
靶器官	部件 会 损害 动物
高于正常	高于正常
近乎完全	整
电热器	用具 加热 电
投资家	人 金融 供 资金
让茶	邀请 喝 饮品
悲剧重演	发生 劫难 再
肾上腺甾酮	物质 排出 位置 部件 身 动物 内
正	功能词 进展
正	功能词
正	精确
正	调整 正
正	改正
正	中位
正	位置 中位
正	正面
正	正面 数量
正	正面 电 物理
正	主
正	当
正	纯
正	正义
正	正
绶带鸟	禽
折射性	能力 照射 能
有报导称	功能词
实验室	场所 实验 知识 研究 知识
子囊盘	部件 生物学 生物
冲刷	损害
冲刷	洗涤
鞔鼓	定住 乐器 部件 皮 动物
讨情	要求 原谅
理由不充分	空洞
臀部	部件 部件 身 动物
猩红	红 浓
传令兵	人 传送 信件
保险库	场所 保存 地方 国家 政 钱财
大肠	部件 脏 部件 脏 动物 消化
人生地不熟	无知 人 地方
广阔	广
一轰而起	从事 莽
炟	文字 中国
辇	车 非自动 过去
一衣带水	近
心脏病	疾病 部件 心 部件 脏 动物 循环
交兵	争斗 军
劈刀	方法 军 争斗
劈刀	用具 折断 破开
俄文	语言 俄罗斯 专
国产品	人工物 特性值 制造 地方 本土
球杆	运动器材 体育
身败名裂	成为 臭名
攻其一点，不及其余	谴责
萆	衣物 穿戴 部件 身 人 阻止 雨雪
吉普车	车 自动
粉皮	食品
啼号	哭泣
阻塞性肺气肿	疾病 部件 脏 部件 脏 动物 呼吸
夏侯	姓
宫保鲜带子	食品 烹调
营建	建造
翻个儿	颠倒
危如累卵	危
厌气	厌恶
冬葱	部件 身 蔬菜 吃
祖鲁语	语言 专
傍晚茶	事情 吃
爪哇语	语言 专
减价	减少 商业 价格
倒赔	亏损 赚 否
酒力	能力 人 喝 嗜好物
个性	一般性 实体 特定
个性	一般性 人 特定
哥萨克	人 俄罗斯
调到	差遣
短命	年龄 生物 短时间
放包袱	安心
也门人	人 也门
收束	控制
收束	装载
收束	制止
环委会	机构 专 使净 情况 实体
逐	追赶
逐	驱赶
民怨沸腾	不满
临时	临时
临时	时间 发生
站柜台	当作 人 职位 商业 卖
高密度脂蛋白	物质 代谢 生物学 医
暖气片	设施 供 热量 物质 建筑物
爱克斯光	光 诊察 医
阿拉法特	人 巴勒斯坦 政 元首 专
纸币	货币 商业 金融
亏短	不足
尾韵	声 语言
副总统	人 职位 元首 次
劳瘁	疲乏 超
激发	感动
多年	时间 年 多
金朝	时间 朝代 中国 皇 专 过去
利比里亚	与特定国家相关 利比里亚
利比里亚	地方 国家 非洲 政 专
发嘘声	喊 示不满
49	基数
协理	帮助 管理
心连心	亲密
行个方便	便利
碘酊	药物
侵略者	人 军 攻打
货架期	时间 保存
大関	人 日本 锻炼 体育
变乱	事情 暴动 政
天打五雷轰	遭受 杀害 雷
总督职位	职位 人 职位 政 元首 管理 地方 国家 政
数得着	非常好
麦那麦	地方 国都 巴林 专
脓包	人 庸
脓包	现象 医 出现 疾病 部件 皮 动物
儿女	人 家庭 小辈 直系 众
儿女	人 女 人 男
教徒	人 宗教 相信 拟人 敬佩
应召	答 召唤
轮唱	事情 唱 艺
打零	从事 事务 临时
南行	南
过从	交往
公费医疗	制度 事务 医治 免费
追尾	撞 部件 车 尾 车
追尾	劫难 撞 部件 车 尾 车
急病	疾病 急
紧身儿	衣物 穿戴 部件 身 人
越来越	较
综合治理	处理 全面
施惠于人者	人 善待
条子	人 职位 警
条子	读物
条子	物形
亡人	人 死
人声鼎沸	嘈杂
油印机	用具 印刷
放电	发射 物理 电
界址	部件 边 地方 国家 政
谨饬	慎
问讯	问
淄川	地方 市 中国 专
峁	陆地 凸
荡漾	摆动
谈何容易	难
单行线	道路 驶 方向特性值 单
高高兴兴	举止值 喜悦
或多或少	稍
祖茔	设施 埋入 部件 身 人 死
尴	文字 中国
玩儿牌	娱乐 用具
神经束	部件 络 动物 传送 信息
申	说明
申	地方 市 中国 专
申	姓
申	符号 知识 中国 次序
插条	部件 肢 植物
通常	经常
朝鲜人	人 朝鲜
去就	选择
万亿	基数
尿炕	排泄 加湿 家具 睡
谢谢你	词语 表示 致谢
鲍汁豆腐	食品 烹调
虱	虫
鱼虫	物质 喂 鱼
求神问卜	要求 拟人
粤	地方 省 中国 专
有盼儿	有望
更定	改正
高要	地方 市 中国 专
散文家	人 文 编辑
可执行	能 实施
比翼鸟	人 家庭 女 和谐 配偶 人 家庭 和谐 男 配偶
肠溶片	药物
填埋	埋入
作	行动
作	编辑
作	做
作	发生
作	假装
作	语文
气味相投	适合 习惯 精神
出手阔气	奢
榴弹炮	武器 军
无耻之尤	没羞 极
贷方	人 金融 借出 钱财
承望	期望
过寿	祝贺 时间 日 问世
坏东西	人 卑劣 暴 有罪
芒硝	化学物
封紧	关闭 紧
出苗	生殖 植物
存款准备金率	比率 金融 货币
巡哨	查
腊肉炒香干	食品 烹调
失宠	成为 倒霉
车型	类型 车
蹀	部件他移 部件 脚 人
麦浪	物形 庄稼
历久弥新	发达 长时间
收税官	人 职位 征收 金融 费用
大上个星期	时间 周 过去 特定
酒类	饮品 嗜好
触痛	现象 疼痛
触痛	触 位置 疼痛
钟楼	设施 放置 用具 告诉 时间
害人精	人 损害
原子反应堆	设施 变性态
鳖犊子	词语 表示 谴责
围住	包围
应予通报	能 告诉
回车键	部件 电脑
点拨	教
记名	写 姓名
车公里	单位 长度
雘	材料 变颜色
稀烂	形变 缺
稀烂	软
量具	用具 测量
焚	焚烧
换羽	代替 部件 毛 禽
藤床	家具 木 睡
乌龟	鱼
乌龟	人 男 有 人 家庭 女 配偶 不忠
公共管理硕士	人 有 身分 教育 高等 较
朗读	诵读
领略	领会
道姑	人 宗教 女
绨	材料 衣物 用具
拉巴	供养 人 家庭 直系 卖力
拉巴	帮助
旨	文书 皇
旨	部件 心 实体
旨	目的
白柏	树
单元房	房屋
等而下之	低等
车削产品	人工物 制造
习	练习
习	适合
习	姓
联翩	共同
槊	武器 军 扎
吃起来	是 经受 舔
舞美设计	事情 计划 设施 艺 表演
扁蝽	虫
吃偏食	享受 权利 特别
摁响	启动 发声 按压
海口	设施 靠近 水域 终止他移 放置 船
海口	地方 市 中国 专
超饱和	状况值 态变
不能容忍	庸 忍耐
暗锁	部件 器具 拴连 定住
钢丝绳	材料 线 金属 拴连
封建	呆
封建	制度 政
朱红	红
朱红	红 浓
飞行物	飞行器
和棋	相等 体育 较量
终点线	位置 尾 设施 体育 线
三段论	知识
保育	事务 照料 人 少儿
特许	示同意 特别
醉拳	事情 锻炼 拳击
经销处	部件 场所 商业 卖
荣登榜首	成功 较量
斗烟丝	嗜好物
诱迫	勾引 强迫
诛暴讨逆	消灭 团体 罪恶 歹
组织者	人 安排 建立
塑化	变性态 材料
集体性	合作性 实体 事件
芸	花草
短波	电
过气	背令
山参	花草 药物
走漏风声	露出 信息 不精确 传播 隐秘
萸	文字 中国
民政部	部件 机构 中国 政 归属中央 官 管理 管理 事务 人
大喜过望	喜悦 很
蛮干	蛮干
水利学家	人 有 知识
所有者	人 有
小便器	用具 放置 排泄物
冻疮	疾病 部件 皮 动物
送检	交 查
没齿不忘	记得
绕开	躲避
代县	地方 县 中国 专
一无所知	不知 极
隐姓埋名	瞒 身分
罡风	风 坏天 强
回环	弯
峨眉山市	地方 市 中国 专
不过尔尔	可
丛林	树 众
脱离接触	脱离
倜然	傲
对比鉴别	分辨
养老院	场所 照料 人 老年
药罐	用具 制造 药物 中国
自幼	时间特性值 少儿
算法语言	语言 编辑 软件
搔痒	抓挠 发痒
铅丝	材料
吃罪不起	谴责 没能力 人 己
凶横	暴
温吞	温
横幅	标志
横幅	用具 装饰
山毛榉	树
叭嗒	发声
叭嗒	声 发声 关闭
茶吧	场所 商业 喝 饮品
安枕无忧	安心
